titre,url_fiche,annee_sortie,id_imdb,id_moviedb_final,budget
Avantages de Voyager en Train,https://www.imdb.com/title/tt8406738/?ref_=adv_li_tt,2019,tt8406738,-,-
Lola vers la mer,https://www.imdb.com/title/tt8356178/?ref_=adv_li_tt,2019,tt8356178,617299,0
Revenir,https://www.imdb.com/title/tt9411900/?ref_=adv_li_tt,2019,tt9411900,582922,0
"Roubaix, une lumière",https://www.imdb.com/title/tt8359840/?ref_=adv_li_tt,2019,tt8359840,574097,0
Zombi Child,https://www.imdb.com/title/tt9056192/?ref_=adv_li_tt,2019,tt9056192,554311,0
#jesuislà,https://www.imdb.com/title/tt9828918/?ref_=adv_li_tt,2019,tt9828918,-,-
Play,https://www.imdb.com/title/tt7998848/?ref_=adv_li_tt,2019,tt7998848,547258,0
Ibiza,https://www.imdb.com/title/tt7942936/?ref_=adv_li_tt,2019,tt7942936,531735,0
La Vie scolaire,https://www.imdb.com/title/tt8783532/?ref_=adv_li_tt,2019,tt8783532,587301,0
Les Plus belles années d'une vie,https://www.imdb.com/title/tt9075612/?ref_=adv_li_tt,2019,tt9075612,582887,0
Fête de famille,https://www.imdb.com/title/tt8080196/?ref_=adv_li_tt,2019,tt8080196,505940,5350000
Versus,https://www.imdb.com/title/tt7511972/?ref_=adv_li_tt,2019,tt7511972,483555,0
Polina,https://www.imdb.com/title/tt5191094/?ref_=adv_li_tt,2019,tt5191094,408437,0
Kizim Gibi Kokuyorsun,https://www.imdb.com/title/tt10086502/?ref_=adv_li_tt,2019,tt10086502,717748,0
Le meilleur reste à venir,https://www.imdb.com/title/tt9284430/?ref_=adv_li_tt,2019,tt9284430,582206,13000000
Just a Gigolo,https://www.imdb.com/title/tt8163224/?ref_=adv_li_tt,2019,tt8163224,544345,0
Docteur?,https://www.imdb.com/title/tt11013572/?ref_=adv_li_tt,2019,tt11013572,613349,6837995
Au nom de la terre,https://www.imdb.com/title/tt10545470/?ref_=adv_li_tt,2019,tt10545470,612368,0
L'Adieu à la nuit,https://www.imdb.com/title/tt8569390/?ref_=adv_li_tt,2019,tt8569390,575458,0
Pompei,https://www.imdb.com/title/tt8972476/?ref_=adv_li_tt,2019,tt8972476,621731,0
Une belle équipe,https://www.imdb.com/title/tt9031048/?ref_=adv_li_tt,2019,tt9031048,613345,0
Donne-moi des ailes,https://www.imdb.com/title/tt10204940/?ref_=adv_li_tt,2019,tt10204940,589982,0
Chanson douce,https://www.imdb.com/title/tt7600706/?ref_=adv_li_tt,2019,tt7600706,582895,0
Alice et le maire,https://www.imdb.com/title/tt8903840/?ref_=adv_li_tt,2019,tt8903840,592480,0
